hostname,manufacturer,model,service_tag,operating_system,domain,logged_in_user,order_number,purchase_cost,purchase_date,warranty_expiry,end_of_life_date,supplier,disposal_date,disposal_method
NG-LT-1001,Dell,Latitude 5550,AB1000,Windows 11 Pro,northgate.local,olivia.ashworth,PO-20000,1249.00,2022-06-16,2025-06-15,2027-06-15,Tidewell Print Solutions,,
NG-LT-1002,Dell,Latitude 7450,BC1007,Windows 11 Pro,northgate.local,noah.bramley,PO-20001,1599.00,2022-07-24,2025-07-23,2027-07-23,Ravensworth IT Distribution,,
NG-DT-1003,Dell,OptiPlex 7010,CD1014,Windows 11 Pro,northgate.local,amelia.cavendish,PO-20002,899.00,2022-08-31,2025-08-30,2027-08-30,Ravensworth IT Distribution,2027-09-29,WEEE recycling - certificate on file
NG-LT-1004,Lenovo,ThinkPad T14 Gen 5,DE1021,Windows 11 Pro,northgate.local,oliver.dunmore,PO-20003,1399.00,2022-10-08,2025-10-07,2027-10-07,Tidewell Print Solutions,,
NG-DT-1005,Lenovo,ThinkCentre M70q,EF1028,Windows 11 Pro,northgate.local,isla.ellwood,PO-20004,799.00,2022-11-15,2025-11-14,2027-11-14,Ravensworth IT Distribution,,
NG-LT-1006,HP,EliteBook 840 G11,FG1035,Windows 11 Pro,northgate.local,arthur.fairbrother,PO-20005,1479.00,2022-12-23,2025-12-22,2027-12-22,Ravensworth IT Distribution,,
NG-DT-1007,HP,ProDesk 400 G9,GH1042,Windows 11 Pro,northgate.local,freya.gledhill,PO-20006,749.00,2023-01-30,2026-01-29,2028-01-29,Tidewell Print Solutions,,
NG-LT-1008,Apple,MacBook Pro 14 M4,HI1049,macOS 15,northgate.local,leo.hartley,PO-20007,2199.00,2023-03-09,2026-03-08,2028-03-07,Ravensworth IT Distribution,,
NG-LT-1009,Dell,Latitude 5550,IJ1056,Windows 11 Pro,northgate.local,ava.inskip,PO-20008,1249.00,2023-04-16,2026-04-15,2028-04-14,Ravensworth IT Distribution,,
NG-LT-1010,Dell,Latitude 7450,JK1063,Windows 11 Pro,northgate.local,henry.jerrard,PO-20009,1599.00,2023-05-24,2026-05-23,2028-05-22,Tidewell Print Solutions,2028-06-21,WEEE recycling - certificate on file
