problem_number,title,status,priority,description,root_cause,workaround,is_known_error
,Depot WAN instability on Leeds and Bristol links,New,High,Both depots drop packets in bursts during the working day; users see Teams and WMS failures.,Provider reports CRC errors on the local loop at both sites. Suspect shared upstream card.,Failover to 4G bonded router during an outage; performance is degraded but usable.,no
,Outlook credential prompts after MFA policy change,Investigating,Medium,Recurring password prompts across ~30 users since the conditional access change.,Modern auth disabled on a legacy connector still in the policy set.,Clear cached credentials and re-register the device.,no
,Sage 200 report timeouts at month end,Root Cause Identified,High,Finance reports time out between the 28th and the 2nd every month.,Missing index on the posting table; the plan flips to a scan once the table passes ~4m rows.,Run the heavy reports out of hours until the index ships.,yes
,Warehouse scanners lose WMS session over wifi roam,Known Error,High,Scanners drop the WMS session when roaming between aisles.,AP firmware does not honour the fast-roam setting; vendor bug ref WX-4471.,Pin the affected aisles to a single AP channel until firmware 9.4 is released.,yes
,Backup job fails when a snapshot is left mounted,Known Error,Medium,Nightly SQL backup fails roughly one night in ten.,"A failed snapshot is not cleaned up, so the next run cannot acquire the volume.",Dismount the stale snapshot and re-run the job.,yes
,MFD firmware 3.18 breaks Windows print queues,Resolved,Medium,"After the vendor firmware push, queues fail with 0x0000011b.",Firmware changed the IPP negotiation; the queue must be recreated as IPP rather than RAW.,Recreate the queue using IPP.,yes
,Guest wifi DHCP pool exhaustion,Resolved,Low,Guests intermittently fail to get an address on busy days.,Lease time of 24 hours on a /24 pool; visitor churn exhausts it.,Shorten the lease to 4 hours.,no
,Air-con short-cycling in HQ comms room,Investigating,Critical,Temperature alarms during warm afternoons; the unit short-cycles rather than holding setpoint.,Suspected refrigerant loss - Marlbrook engineer booked.,Portable unit plus propped door with a monitored temperature probe.,no
,Site Access Control readers freeze after power blip,New,Medium,Readers need a manual power cycle after any brief mains interruption.,Unknown - controller may lack a watchdog.,Power cycle the controller cabinet.,no
,SharePoint sync errors on long file paths,Known Error,Low,"Sync stalls on paths over 255 characters, mostly in the tender library.",Known Microsoft limitation with the legacy sync client.,Shorten folder names or map the library as a drive.,yes
,VPN drops on 4G with aggressive NAT timeouts,Investigating,Medium,Site cabins lose the tunnel every few minutes on one carrier.,Carrier NAT timeout is shorter than the tunnel keepalive.,Reduce the keepalive interval to 20 seconds on affected profiles.,no
,File server growth outpacing capacity plan,Closed,Low,SRV-FILE01 hit 92% twice this quarter.,No quota policy on the shared drives; media files never archived.,Emergency clean-up of the recycle bins and old ISO images.,no
