title,body,is_published,next_review_date
How to reset MFA when a phone is lost or replaced,"<h2>When to use this</h2><p>A user has lost their phone, replaced it, or wiped it, and can no longer approve sign-in requests.</p><h2>Steps</h2><ol><li>Confirm the caller's identity against two pieces of information held in the HR record.</li><li>In the admin centre, open the user and choose <strong>Require re-register MFA</strong>.</li><li>Ask the user to sign in on a desktop and follow the enrolment prompt.</li><li>Confirm a successful sign-in from the new device before closing the ticket.</li></ol><h2>Do not</h2><p>Do not disable MFA to ""get them working"" - raise a temporary access pass instead.</p>",no,2026-11-22
Outlook keeps asking for a password,"<h2>Cause</h2><p>Nearly always cached credentials after a policy change, or a legacy connector still in scope.</p><h2>Fix</h2><ol><li>Close Outlook.</li><li>Remove the stored entries under Credential Manager > Windows Credentials.</li><li>Reopen Outlook and sign in fully.</li><li>If it recurs within a day, check whether the device is compliant.</li></ol>",yes,2026-11-27
Requesting a new starter account,"<h2>What we need</h2><ul><li>Full name and preferred name</li><li>Start date</li><li>Department and manager</li><li>Which named role profile to copy access from</li><li>Kit required (laptop, monitor, handset)</li></ul><h2>Lead time</h2><p>Five working days for a standard build; ten if new hardware must be ordered.</p>",yes,2026-12-02
Warehouse scanner loses its WMS session,<h2>Known error</h2><p>AP firmware does not honour fast roam (vendor ref WX-4471).</p><h2>Workaround</h2><p>Pin the affected aisle to a single AP channel. Firmware 9.4 fixes it and is scheduled.</p>,yes,2026-12-07
Depot WAN link troubleshooting,<h2>First checks</h2><ol><li>Confirm whether both depots are affected - if so it is upstream.</li><li>Check the router interface for CRC errors.</li><li>Fail over to the bonded 4G profile.</li><li>Raise with Calderstone quoting the circuit ID and the error counters.</li></ol>,yes,2026-12-12
Recovering a deleted file or folder,"<h2>Options in order</h2><ol><li>Previous Versions on the share.</li><li>The share's recycle bin (30 days).</li><li>Offsite backup restore - raise a ticket, 4 hour response.</li></ol><p>Always confirm the exact path and a date to restore from.</p>",yes,2026-12-17
Standard laptop build (Windows 11 24H2),<h2>What is included</h2><ul><li>Security baseline</li><li>M365 apps</li><li>Sage 200 client</li><li>VPN profile</li><li>Printer discovery by site</li></ul><h2>Build time</h2><p>Around 40 minutes unattended.</p>,no,2026-12-22
Reporting a suspicious or phishing email,"<h2>Do this</h2><ol><li>Use the Report Phishing button - do not forward it.</li><li>If you clicked a link or entered credentials, tell the service desk immediately and change your password.</li></ol><p>Reporting a genuine email by mistake causes no harm. Reporting nothing does.</p>",yes,2026-12-27
Printing to an MFD after the 3.18 firmware update,<h2>Symptom</h2><p>Queues fail with error 0x0000011b after the vendor firmware push.</p><h2>Fix</h2><p>Recreate the queue as IPP rather than RAW. Existing RAW queues cannot be repaired in place.</p>,yes,2027-01-01
Requesting software (including Adobe and Sage),"<h2>Process</h2><ol><li>Raise a service request naming the software and business reason.</li><li>Licence availability is checked against the compliance view.</li><li>If none is spare, a purchase is raised with the licence reseller - allow ten working days.</li></ol>",yes,2027-01-06
Out-of-hours support and escalation path,"<h2>Cover</h2><p>18:00-08:00 and weekends run through the overflow desk under CTR-2026-009.</p><h2>Escalation</h2><p>P1 only: duty manager, then the head of managed services. Tickets hand back at 08:00.</p>",yes,2027-01-11
Requesting a shared mailbox,"<h2>What we need</h2><ul><li>Display name and address</li><li>Owner (must be a named person)</li><li>Who needs access, and whether they need Send As</li></ul><p>Created within two working days.</p>",yes,2027-01-16
