title,change_type,status,priority,impact,description,reason_for_change,test_plan,rollback_plan,work_start_datetime,work_end_datetime,cab_required
Replace core switch SW-HQ-CORE-01,Normal,Scheduled,High,High,"Swap the ageing core switch for the new chassis, migrating uplinks in pairs.",End of support in November and two PSU alerts this quarter.,Failover test on each uplink pair before moving the next.,"Roll back by re-patching uplinks to the old chassis, which stays racked for 7 days.",2026-08-06 20:00:00,2026-08-06 23:30:00,yes
Apply July security patch baseline to servers,Standard,Completed,Medium,Medium,Monthly patch ring across all server groups.,Monthly compliance requirement.,Patch the pilot ring first and check application smoke tests.,Uninstall the patch bundle and reboot.,2026-07-07 20:00:00,2026-07-08 23:30:00,no
Enable conditional access for legacy protocols,Normal,Approved,High,High,Block legacy auth except for two named service accounts.,Closes the credential-stuffing route flagged in the pen test.,"Report-only mode for a week, then enforce.",Set the policy back to report-only.,2026-07-29 20:00:00,2026-07-29 23:30:00,yes
Install depot switch at Leeds,Normal,Scheduled,Medium,Low,New 24-port PoE switch for the mezzanine extension.,Fifteen new scanner docks need wired uplinks.,Verify PoE budget and VLAN trunking before cutover.,Leave the existing switch in place; no user impact until patched.,2026-08-03 20:00:00,2026-08-03 23:30:00,no
Migrate file shares to Brookmere cloud storage,Normal,Pending Approval,High,High,Phase 1: move the tender and marketing libraries.,Capacity relief on SRV-FILE01 and better offsite recovery.,"Copy, verify checksums, run in parallel for a week.",Repoint the DFS namespace back to the on-premise target.,2026-08-15 20:00:00,2026-08-17 23:30:00,yes
Decommission legacy AS400 gateway,Normal,Draft,Low,Medium,Retire the gateway once the last finance extract is migrated.,Contract CTR-2026-010 has expired and the platform is unsupported.,Confirm 30 days with no traffic on the gateway interface.,Power the gateway back on; config is backed up.,2026-09-03 20:00:00,2026-09-04 23:30:00,yes
Firmware upgrade for wifi APs to 9.4,Normal,Approved,High,Medium,Fixes the fast-roam bug behind the warehouse scanner problem.,Known error WX-4471 affects picking productivity daily.,Upgrade two APs in aisle 7 and run a full picking shift before the rest.,Downgrade to 9.2 from the local image store.,2026-07-31 20:00:00,2026-07-31 23:30:00,yes
Add index to Sage posting table,Normal,Completed,Medium,Medium,Create the covering index identified in the month-end problem investigation.,Removes the month-end report timeouts.,"Create ONLINE, then re-run the three slowest reports.",Drop the index.,2026-07-19 20:00:00,2026-07-19 23:30:00,no
Emergency reboot of SRV-APP02 after AV quarantine,Emergency,Completed,Critical,High,Service restart and reboot after the antivirus quarantined a DLL in use.,Application down for all users; approved verbally by the duty manager.,Smoke test the application login and a test transaction.,Restore the quarantined file from the AV vault.,2026-07-22 20:00:00,2026-07-22 23:30:00,no
Rotate service account credentials (quarterly),Standard,Completed,Medium,Low,Quarterly rotation for the eight monitored service accounts.,Security policy SEC-04.,Rotate one account at a time and confirm dependent services.,Restore the previous credential from the vault.,2026-06-25 20:00:00,2026-06-25 23:30:00,no
Replace HQ comms room air-con unit,Normal,Pending Approval,Critical,High,Marlbrook to replace the failing unit; portable cooling in place meanwhile.,Repeated temperature alarms risk an unplanned shutdown.,Monitor the probe for 48 hours after commissioning.,Keep the portable unit on site for a fortnight.,2026-08-08 20:00:00,2026-08-09 23:30:00,yes
Term-time change freeze for Cranbourne Academy Trust,Standard,Approved,Low,Low,Administrative change recording the agreed freeze window.,Customer contractual requirement.,None required.,Remove the freeze window.,2026-07-27 20:00:00,2026-07-27 23:30:00,no
Upgrade ITSM database server to SQL 2022,Normal,Draft,High,High,In-place upgrade of SQLDB-ITSM with a full backup taken first.,Support for 2017 ends next year.,Restore the backup to a test instance and upgrade there first.,Restore the pre-upgrade full backup.,2026-09-18 20:00:00,2026-09-19 23:30:00,yes
Enable disk quotas on shared drives,Standard,Rejected,Low,Medium,Apply 200GB soft quotas per department share.,Prevents a repeat of the file server capacity incident.,Report-only quotas for two weeks.,Remove the quota policy.,2026-08-02 20:00:00,2026-08-02 23:30:00,no
Roll out new standard laptop build (Win11 24H2),Normal,In Progress,Medium,Medium,New image with the updated security baseline and Sage client preinstalled.,Reduces new-starter setup from 4 hours to 40 minutes.,Ten pilot devices across three departments for a fortnight.,Continue issuing the previous image; both remain available.,2026-07-15 20:00:00,2026-08-19 23:30:00,no
